
10:07:25:184 Module1.colourMarginStats:  START
10:09:19:289  10 1001 1999                                                                                             :114.102534
10:10:40:418  11 1001 2000                                                                                             :81.127880
10:12:03:544  12 1001 2000                                                                                             :83.124002
10:13:26:151  13 1001 2000                                                                                             :82.605510
10:14:49:606  14 1001 2000                                                                                             :83.452793
10:16:13:855  15 1001 2000                                                                                             :84.248001
10:17:36:788  16 1001 2000                                                                                             :82.930991
10:19:00:839  17 1001 2000                                                                                             :84.049562
10:20:23:676  18 1001 2000                                                                                             :82.834120
10:21:46:841  19 1001 2000                                                                                             :83.164211
10:23:09:745  20 1001 2000                                                                                             :82.902093
10:24:31:962  21 1001 2000                                                                                             :82.215158
10:25:54:436  22 1001 2000                                                                                             :82.471884
10:27:16:950  23 1001 2000                                                                                             :82.513590
10:28:38:927  24 1001 2000                                                                                             :81.974811
10:30:01:142  25 1001 2000                                                                                             :82.212367
10:31:24:448  26 1001 2000                                                                                             :83.304799
10:32:47:170  27 1001 2000                                                                                             :82.720917
10:34:13:138  28 1001 2000                                                                                             :85.966141
10:35:35:527  29 1001 2000                                                                                             :82.386798
10:36:58:817  30 1001 2000                                                                                             :83.288026
10:38:22:218  31 1001 2000                                                                                             :83.399412
10:39:43:539  32 1001 2000                                                                                             :81.319060
10:41:06:287  33 1001 2000                                                                                             :82.746297
10:42:28:980  34 1001 2000                                                                                             :82.691405
10:43:50:427  35 1001 2000                                                                                             :81.445398
10:45:12:624  36 1001 2000                                                                                             :82.194866
10:45:12:705 Module1.colourMarginStats:  END                                                                           :2,267.474659
